,Unnamed: 0,NAME,About,Price,Delivery Time,Stock_Avaibility,Offers,No._of_Reviews,Rating,Product_URL
0,0,"(Renewed) Dell Intel Core i7 7th Gen 14.Inch(35.6 cms) (1920 x 1080)FHD TOUCHSCREEN Laptop (12GB RAM/256GB SSD/Windows 10 Pro/MS Office/ Intel HD graphics/1.18Kg,Black) Latitude E7480","About this item
`This laptop has been refurbished at UsedYetNew. UsedYetNew is an organisation full of people from Google, ISB, IIT, IIM & the Armed Forces that bring their respective technical competence to ACTUALLY REFURBISH the product. We have a state of art facility that handles the refurbishment in ISO certified standards. We are now undergoing ISO audits & very soon, will be an ISO certified refurbisher.
Processor: 7th Generation Intel Core i7-7500U Processor, Dual-Core, 2.60GHz
Memory & Storage: 12GB DDR4L RAM with Intel HD Graphics| Storage:256Gb SSD
Operating System: Pre-loaded Windows 10 Pro|Preinstalled Software: MS Office| In the box: Laptop, adapter,power Cord
Ports : 1 x HDMI||3 xUSB 2.0|1x RJ45|1 x SD card reader|1x Headphone/microphone combo jack
› See more product details","₹50,000.00",FREE delivery: May 6 - 9 Details,Only 1 left in stock.,"EMI starts at ₹2,354. No Cost EMI available EMI options",--,--,https://www.amazon.in/Renewed-Dell-TOUCHSCREEN-graphics-Latitude/dp/B09LS9K2RF/ref=sr_1_1?keywords=Laptop&qid=1651655765&sr=8-1
1,1,"(Renewed) Dell Intel Core i7 7th Gen 14.Inch(35.6 cms) (1920 x 1080)FHD TOUCHSCREEN Laptop (16GB RAM/256GB SSD/Windows 10 Pro/MS Office/ Intel HD Integrated Graphics/1.18Kg,Black) Latitude E7480","About this item
`This laptop has been refurbished at UsedYetNew. UsedYetNew is an organisation full of people from Google, ISB, IIT, IIM & the Armed Forces that bring their respective technical competence to ACTUALLY REFURBISH the product. We have a state of art facility that handles the refurbishment in ISO certified standards. We are now undergoing ISO audits & very soon, will be an ISO certified refurbisher.
Processor: 7th Generation Intel Core i7-7500U Processor, Dual-Core, 2.60GHz
Memory & Storage: 16GB DDR4L RAM with Intel HD Graphics| Storage:256GB SSD
Operating System: Pre-loaded Windows 10 Pro|Preinstalled Software: MS Office| In the box: Laptop, adapter,power Cord
Ports : 1 x HDMI||3 xUSB 2.0|1x RJ45|1 x SD card reader|1x Headphone/microphone combo jack
› See more product details","₹52,000.00",FREE delivery: May 6 - 9 Details,Only 1 left in stock.,"EMI starts at ₹2,448. No Cost EMI available EMI options",--,--,https://www.amazon.in/Dell-TOUCHSCREEN-Integrated-Graphics-Latitude/dp/B09LSB6BTB/ref=sr_1_2?keywords=Laptop&qid=1651655765&sr=8-2
2,2,"(Renewed) Dell Intel Core i7 7th Gen 14.Inch(35.6 cms) (1920 x 1080)FHD TOUCHSCREEN Laptop (8GB RAM/256GB SSD/Windows 10 Pro/MS Office/Intel Integrated HD Graphics /1.18Kg,Black) Latitude E7480","About this item
`This laptop has been refurbished at UsedYetNew. UsedYetNew is an organisation full of people from Google, ISB, IIT, IIM & the Armed Forces that bring their respective technical competence to ACTUALLY REFURBISH the product. We have a state of art facility that handles the refurbishment in ISO certified standards. We are now undergoing ISO audits & very soon, will be an ISO certified refurbisher.
Processor: 7th Generation Intel Core i7-7500U Processor, Dual-Core, 2.60GHz
Memory & Storage: 8GB DDR4L RAM with Intel HD Graphics| Storage: 256GB SSD
Operating System: Pre-loaded Windows 10 Pro|Preinstalled Software: MS Office| In the box: Laptop, adapter,power Cord
Ports : 1 x HDMI||3 xUSB 2.0|1x RJ45|1 x SD card reader|1x Headphone/microphone combo jack
› See more product details","₹50,000.00",FREE delivery: May 6 - 9 Details,Only 1 left in stock.,"EMI starts at ₹2,354. No Cost EMI available EMI options",--,--,https://www.amazon.in/Dell-TOUCHSCREEN-Integrated-Graphics-Latitude/dp/B09LS95D8Q/ref=sr_1_3?keywords=Laptop&qid=1651655765&sr=8-3
3,3,"Lenovo Thinkpad P15v 11th Gen Intel Core i7 11800H -15.6 inches FHD Mobile Workstation (32GB RAM /1TB SSD /Windows 10 Pro /Nvidia Quadro T1200 4GB Graphics /2.07Kg/ 3 Years Warranty), 21AAS0R400","About this item
ThinkPad Reliability tested on 12 MIL-STD-810H Methods and 22 Procedures | Body Material: Aluminium (top), PC + ABS/Talc15 + magnesium alloy (keyboard cover), PA/50% GF (bottom) | Built to withstand rugged usage and can handle accidental knocks, drops, and even spills
Processor: 11th Gen Intel Core i7-11800H vPro , 2.30 Ghz base clock, 4.60 Ghz max boost clock, 8 Cores, 24 MB Cache | Memory: 32GB SO-DIMM DDR4-3200 Upgradable upto 64GB | Storage: 1 TB SSD M.2 2280 NVMe TLC Opal
Operating System: Preloaded Windows 10 Professional with Lifetime Validity
Display: 15.6"" (39.62 cm) FHD Antiglare 300nits Antiglare 45% Gamut | Graphics: 4GB NVIDIA Quadro T1200 GDDR6 | Audio: HD Audio, Realtek ALC3287 codec, Stereo speakers, 2W x2, Dolby Audio | Supports up to 3 independent displays
Ports: 2x USB 3.2 Gen 1 (1x Always On), 1xThunderbolt 4 (support data transfer, Power Delivery and DisplayPort), 1x HDMI 2.0, 1x microSD card reader, 1x Ethernet (RJ-45), 1x Headphone / microphone combo jack (3.5mm)/ docking solutions supported via Thunderbolt or USB-C.
Camera: IR & 720p, with privacy shutter | Keyboard: 6-row, spill-resistant, backlit, multimedia Fn keys with Unified Communications controls, numeric keypad | UltraNav: TrackPoint pointing device and Mylar surface multi-touch touchpad | Microphone: Dual array microphone, far-field
Connectivity: Wi-Fi 6 AX201, 802.11ax 2x2 Wi-Fi + Bluetooth 5.2 | Security: Discrete TPM 2.0 chip| Touch style fingerprint reader on palm rest, match-on-chip | BIOS Security: NVMe password | Physical Locks: Kensington Security Slot | Laptop Design: Thin & Light, 180 Degree Hinge
Show More","₹1,69,990.00","FREE delivery: Monday, May 9 Details",In stock.,"EMI starts at ₹8,002. No Cost EMI available EMI options",--,--,https://www.amazon.in/Lenovo-Thinkpad-Workstation-Graphics-21AAS0R400/dp/B09Z6V4LWK/ref=sr_1_4?keywords=Laptop&qid=1651655765&sr=8-4
4,4,"Lenovo Thinkpad P15v 11th Gen Intel Core i7 11800H -15.6 inches FHD IPS Mobile Workstation (16GB RAM /1TB SSD /Windows 10 Pro /Nvidia Quadro T600 4GB Graphics /2.07Kg/ 3 Years Warranty), 21AAS0R100","About this item
ThinkPad Reliability tested on 12 MIL-STD-810H Methods and 22 Procedures | Body Material: Aluminium (top), PC + ABS/Talc15 + magnesium alloy (keyboard cover), PA/50% GF (bottom) | Built to withstand rugged usage and can handle accidental knocks, drops, and even spills
Processor: 11th Gen Intel Core i7-11800H vPro , 2.30 Ghz base clock, 4.60 Ghz max boost clock, 8 Cores, 24 MB Cache | Memory: 16GB SO-DIMM DDR4-3200 Upgradable upto 64GB | Storage: 1 TB SSD M.2 2280 NVMe TLC Opal
Operating System: Preloaded Windows 10 Professional with Lifetime Validity
Display: 15.6"" (39.62 cm) FHD IPS Antiglare 3000nits Antiglare 45% Gamut | Graphics: 4GB NVIDIA Quadro T600 GDDR6 | Audio: HD Audio, Realtek ALC3287 codec, Stereo speakers, 2W x2, Dolby Audio | Supports up to 3 independent displays
Ports: 2x USB 3.2 Gen 1 (1x Always On), 1xThunderbolt 4 (support data transfer, Power Delivery and DisplayPort), 1x HDMI 2.0, 1x microSD card reader, 1x Ethernet (RJ-45), 1x Headphone / microphone combo jack (3.5mm)/ docking solutions supported via Thunderbolt or USB-C.
Camera: IR & 720p, with privacy shutter | Keyboard: 6-row, spill-resistant, backlit, multimedia Fn keys with Unified Communications controls, numeric keypad | UltraNav: TrackPoint pointing device and Mylar surface multi-touch touchpad | Microphone: Dual array microphone, far-field
Connectivity: Wi-Fi 6 AX201, 802.11ax 2x2 Wi-Fi + Bluetooth 5.2 | Security: Discrete TPM 2.0 chip| Touch style fingerprint reader on palm rest, match-on-chip | BIOS Security: NVMe password | Physical Locks: Kensington Security Slot | Laptop Design: Thin & Light, 180 Degree Hinge
Show More","₹1,49,990.00","FREE delivery: Monday, May 9 Details",In stock.,"EMI starts at ₹7,061. No Cost EMI available EMI options",--,--,https://www.amazon.in/Lenovo-Thinkpad-Workstation-Graphics-21AAS0R100/dp/B09Z6P8TP3/ref=sr_1_5?keywords=Laptop&qid=1651655765&sr=8-5
5,5,"Lenovo V14-IGL Intel Celeron N4020 4M Cache, up to 2.80 GHz Laptop with 4 GB Ram, 256 SSD, Windows 11 Home ,14"" Full HD(1920x1080) Display, 1 Year Onsite Warranty","About this item
Processor: Intel Celeron N4020 | 2 Cores | 4MB Cache
OS: Pre-Loaded Windows 11 Home with Lifetime Validity
Memory and Storage: 4GB RAM DDR4 | 256GB SSD
Display: 14"" FHD | Brightness : 220nits | Anti-Glare
Design: 1.99 cm Thin and 1.5 kg Light | Narrow Bezel
Battery Life: 35Wh | Upto 10 Hours battery life
› See more product details","₹26,499.00","FREE delivery: Sunday, May 8 Details
Fastest delivery: Friday, May 6
Order within 9 hrs and 12 mins Details",In stock.,"EMI starts at ₹1,247. No Cost EMI available EMI options",--,--,https://www.amazon.in/Lenovo-V14-IGL-Celeron-1920x1080-Warranty/dp/B098V4QNJT/ref=sr_1_6?keywords=Laptop&qid=1651655765&sr=8-6
6,6,"Lenovo V15 Intel Core i3 11th Gen 1115G4 15.6"" (39.62 cm) FHD(1920x1080) Thin and Light Laptop (8GB DDR4 RAM/256GB SSD/Windows 11 Home/Iron Grey/1 Year Onsite Warranty/1.7 kg)",,"₹35,999.00","FREE delivery: Sunday, May 8 Details
Fastest delivery: Friday, May 6
Order within 9 hrs and 12 mins Details",In stock.,"EMI starts at ₹1,695. No Cost EMI available EMI options",--,--,https://www.amazon.in/Lenovo-1115G4-1920x1080-Windows-Warranty/dp/B096W33V4T/ref=sr_1_7?keywords=Laptop&qid=1651655765&sr=8-7
7,7,"MSI Gaming GF63 Thin, Intel 10th Gen. i5-10500H, 40CM FHD 60Hz Gaming Laptop (8GB/256GB NVMe SSD + 1TB HDD/Windows 10 Home/Nvidia GTX1650 MaxQ 4GB GDDR6/ Black/1.86Kg), 10SC-611IN","About this item
Processor: 11th Generation Intel Core i5-10500H Up To 4.50 GHz
Operating System: Pre-loaded Windows 10 Home with lifetime validity (Free Upgrade to Windows 11 Home when Available) |Preinstalled Software: Nvidia GeForce Experience Nahimic 3 MSI Center Gaming Mode MSI App player | In the box: Laptop, Adapter
Display: 40CM FHD (1920*1080), 60Hz 45%NTSC IPS-Level Panel
Memory & Storage: 8GB DDR4 3200MHz RAM, expandable to 64 GB | Storage: 256GB NVMe PCIe Gen3x4 SSD + 1TB SATA HDD
Dedicated Graphics: NVIDIA GeForce GTX 1650MaxQ GDDR6 4GB
""Ultra Thin and light design | Laptop weight: 1.86 kg ""
Keyboard: Backlight Keyboard (Single-Color, Red)
Show More","₹76,990.00","FREE delivery: Wednesday, May 11 Details",In stock.,"EMI starts at ₹3,624. No Cost EMI available EMI options",--,--,https://www.amazon.in/MSI-i5-10500H-Windows-GTX1650-10SC-611IN/dp/B09YTVB91N/ref=sr_1_8?keywords=Laptop&qid=1651655765&sr=8-8
8,8,GlobalNiche® Jumper EZBOOK 3S 14.1 Inch Laptop Windows 10 Intel Apollo Lake N3450 6GB RAM 256GB SSD Storage 1080P,"Good quality and Suitable to use.
This Product comes in a proper Packaging.
In case of any query or issue. Feel free to reach out to us.
Contains: Pack of 1.
Delivery within 3-5 weeks.",--,FREE delivery: June 3 - 14 Details,Usually dispatched in 3 to 5 weeks.,"EMI starts at ₹8,549. No Cost EMI available EMI options",--,--,https://www.amazon.in/GlobalNiche%C2%AE-Jumper-EZBOOK-Windows-Storage/dp/B09ZB7XNQ2/ref=sr_1_9?keywords=Laptop&qid=1651655765&sr=8-9
9,9,GlobalNiche® DEEQ A116 11.6 Inch Windows 10 Intel Z3735F Quad Core 1.33GHz 2GB/32GB SSD Built-in Camera Laptop,"Good quality and Suitable to use.
This Product comes in a proper Packaging.
In case of any query or issue. Feel free to reach out to us.
Contains: Pack of 1.
Delivery within 3-5 weeks.",--,FREE delivery: June 3 - 14 Details,Usually dispatched in 3 to 5 weeks.,"EMI starts at ₹3,039. No Cost EMI available EMI options",--,--,https://www.amazon.in/GlobalNiche%C2%AE-Windows-Z3735F-1-33GHz-Built/dp/B09ZB9DHMM/ref=sr_1_10?keywords=Laptop&qid=1651655765&sr=8-10
