,NAME,Source,Price,Delivery Time,Stock_Avaibility,Offers,No._of_Reviews,Rating,Product_URL
0,"acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) A515-56 Thin and Light Laptop  (15.6 inch, Pure Silver, 1.65 kg, With MS Office)","Flipkart Internet Private Limited,","₹50,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",Good,--,https://www.flipkart.com/acer-aspire-5-core-i5-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-a515-56-thin-light-laptop/p/itm07ce514e25a5d?pid=COMG69G2FNSS2MB2&lid=LSTCOMG69G2FNSS2MB2IKXJ6G&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_h%2FNOhDGFqa86xFEXOmSUKu6i3j6o3BS8%2F%2BZeMxaOvZ85GnJOZolLYOKpVBnI7K2OqCWQy7z7SRx9BOEJg6oApQ%3D%3D&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
1,"acer Aspire 3 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) A315-23 Laptop  (15.6 inch, Pure Silver, 1.9 kg)","Flipkart Internet Private Limited,","₹42,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",nice at the price range,--,https://www.flipkart.com/acer-aspire-3-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-11-home-a315-23-laptop/p/itm3ea59049bce25?pid=COMG8ZYESERNZFZC&lid=LSTCOMG8ZYESERNZFZCQGEEKL&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_h%2FNOhDGFqa86xFEXOmSUKu6i3j6o3BS8%2F%2BZeMxaOvZ%2FwMyjWKvu8pHHU5UNUzJ5Unqjr21WRkyGyPiPnsb2ncw%3D%3D&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
2,"Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop  (15.6 Inch, Platinum Grey, 1.7 kg, With MS Office)","Flipkart Internet Private Limited,","₹34,490","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","One of the best Laptop in the market for home usage. Mind-blowing display, Crystal clear sound quality, Smooth touch experience,Run 4k video , Built with Windows 11 and MS Office along with many other useful softwares. If you are looking for a budget laptop then just go for it. I bet you will definitely like this.","4.4★
2,395 Ratings &
261 Reviews",https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-15iml05-thin-light-laptop/p/itmd1871bfcde765?pid=COMG6AKVAHWTHAQG&lid=LSTCOMG6AKVAHWTHAQGXUICJF&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG6AKVAHWTHAQG.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
3,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop  (15.6 inch, Arctic Grey, 1.65 kg, With MS Office)","Flipkart Internet Private Limited,","₹38,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","First of all thanks to Flipkart for a faster delivery, it was under 2days. You guys are awesome.
The laptop is so much slik looking and classy. It is so much premium looking. The display is great and the performance is even faster. I am a student, doing my bachelor's, so for student work it is more faster than required. I just loved the laptop. But for gaming I don't know, because I can't play games that much. Boot time is less than 6 second.","4.4★
420 Ratings &
46 Reviews",https://www.flipkart.com/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itm97b9c72c92383?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG9VHHG6Q3RRJX.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
4,"Infinix INBook X1 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL11 Thin and Light Laptop  (14 inch, Aurora Green, 1.48 kg)","Flipkart Internet Private Limited,","₹29,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges","Hurry, Only 7 left!","Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","No other laptops can't beat this, at this price segment ⚡⚡⚡✨✨✨✨
✨Display - Best
✨Build - best in this segment ( except ports )
✨Battery backup : 6 - 8 hours for normal usage in 80% brightness with WiFi
✨ Fan noise almost equal to zero as mentioned by company
✨ For students its specifications are more than enough
✨ Windows 11 runs very smoothly on i3 10th gen also

Let's see how is the infinix after sale service !","4.3★
1,980 Ratings &
418 Reviews",https://www.flipkart.com/infinix-inbook-x1-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-xl11-thin-light-laptop/p/itmc853735b3bcae?pid=COMG8Z3HYTJZFF2Z&lid=LSTCOMG8Z3HYTJZFF2ZTYHG57&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG8Z3HYTJZFF2Z.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
5,"HP Pavilion Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) 15-ec2004AX Gaming Laptop  (15.6 inch, Shadow Black, 1.98 kg)","Flipkart Internet Private Limited,","₹54,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","I have used this laptop for one week and my observations are as below.
1. It took 90 to 100 min to charge from 10% to 100%. ( 5 times tested)

2. Battery backup is approx 190 min to 210 min as per this usage => Full brightness, Hotspot in use, Only slideshow application run.
(8 times tested)

3. After buying this product I have registered it on the HP website and it is found the legal product.

4. Keyboard is very very smooth.

5. Sound quality is also good.

6. Refresh rate is also good.
...
READ MORE","4.5★
5,274 Ratings &
581 Reviews",https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5600h-8-gb-512-gb-ssd-windows-10-4-graphics-nvidia-geforce-gtx-1650-144-hz-15-ec2004ax-gaming-laptop/p/itm98c94bbf9bc20?pid=COMG5GZXPWMGTNWS&lid=LSTCOMG5GZXPWMGTNWSQE9WVW&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG5GZXPWMGTNWS.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
6,"MSI Modern 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B4MW-423IN Thin and Light Laptop  (14 inch, Carbon Grey, 1.3 Kg)","Flipkart Internet Private Limited,","₹39,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","First time I have purchased a laptop which had no reviews at all in Flipkart, but just gone thru the specs and details mentioned on website. These specs are awesome at this price, mostly you get all pros in terms of light weight, premium finish, and speed.
Very few cons it have like no extra RAM slot but you can replace with 32GB RAM, No MS office and Low speaker volume due to speakers located under the laptop.

Great to buy, got this at 40,990 at BBD","4.6★
629 Ratings &
100 Reviews",https://www.flipkart.com/msi-modern-14-ryzen-5-hexa-core-4500u-8-gb-512-gb-ssd-windows-10-home-b4mw-423in-thin-light-laptop/p/itmc2074b83b6a54?pid=COMG483FQ7YHK7GP&lid=LSTCOMG483FQ7YHK7GP6HDKFB&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG483FQ7YHK7GP.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
7,"acer Aspire 5 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) A515-56 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.65 kg, With MS Office)","Flipkart Internet Private Limited,","₹45,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C",--,--,https://www.flipkart.com/acer-aspire-5-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-a515-56-thin-light-laptop/p/itm12dd44dc68337?pid=COMGCRQZPZ28VKGZ&lid=LSTCOMGCRQZPZ28VKGZLPMFCK&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_h%2FNOhDGFqa86xFEXOmSUKu6i3j6o3BS8%2F%2BZeMxaOvZ9vlTwoaE%2BIX1rnEJGu%2BX6PuRxTFfXvjzRVqHUwmPDW5A%3D%3D&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
8,"HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq2629TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.69 KG, With MS Office)","Flipkart Internet Private Limited,","₹41,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","Hp laptop is the Best one 👍💞😍
I am so Happy for this Lappi.💕
Laptop Looks like a very Pretty 😍
Sounds is Awesome and Loud❤️
Display Quality is Full HD. ❤️
Battery Backup is a very Well❤️
Processor very fast 💕
Values of quality and Money 👍
Thank you Flipkart for timely Delivery this Product. Always love and recommend Flipkart shopping ❤️","4.3★
583 Ratings &
55 Reviews",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq2629tu-thin-light-laptop/p/itm00019d89927f7?pid=COMGBH9JZ4ZFH9GH&lid=LSTCOMGBH9JZ4ZFH9GHN7FV3Q&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMGBH9JZ4ZFH9GH.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
9,"ASUS VivoBook Ultra 14 (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X413EA-EB321WS Thin and Light Laptop  (14 inch, Cobalt Blue, 1.40 kg, With MS Office)","Flipkart Internet Private Limited,","₹39,990","Usually delivered and Installed in6 days?
Enter pincode for exact delivery dates/charges",Available,"Bank Offer10% off on SBI Credit Card, up to ₹1250. On orders of ₹5000 and aboveT&C","Flipkart just took 2 days to deliver the product.
I have used it now for just few hours, so here is the first impressions....
Battery is great as of now.
Display is great... vibrant and crisp.
i3 11 th gen handles everything too easily.
SSD is toooo fast...i have made a partition of 175gb for c drive.
Design is also great.
Comes with genuine windows 10 and ms office home & student 2019.
As of now.... everything is great. Now let's see what happens after some time, I'll edit the review after ...
READ MORE","4.4★
2,119 Ratings &
311 Reviews",https://www.flipkart.com/asus-vivobook-ultra-14-2022-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x413ea-eb321ws-thin-light-laptop/p/itm6615e01e4f7d0?pid=COMG87FFW6EN4SUY&lid=LSTCOMG87FFW6EN4SUYAIB0DZ&marketplace=FLIPKART&q=Laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=23868390-8fbb-437b-9449-ca046b37ecff.COMG87FFW6EN4SUY.SEARCH&ppt=hp&ppn=homepage&ssid=bfqdioa8m80000001651656238545&qH=146bdebb324a64d3
